,Pays,Indicateur,Année,Unité,Valeur
124,China,disponibilité protéiques moyenne,2011,g/cap/d,110.7
125,China,disponibilité protéiques moyenne,2012,g/cap/d,111.7
126,China,disponibilité protéiques moyenne,2013,g/cap/d,113.4
127,China,disponibilité protéiques moyenne,2014,g/cap/d,115.6
128,China,disponibilité protéiques moyenne,2015,g/cap/d,117.2
129,China,disponibilité protéiques moyenne,2016,g/cap/d,118.6
130,China,disponibilité protéiques moyenne,2017,g/cap/d,119.7
131,China,disponibilité protéiques moyenne,2018,g/cap/d,120.9
132,China,disponibilité protéiques moyenne,2019,g/cap/d,122.9
133,China,disponibilité protéiques moyenne,2020,g/cap/d,125.2
134,India,suffisance des apports énergétiques alimentaires moyens,2000,%,104.0
135,India,suffisance des apports énergétiques alimentaires moyens,2001,%,102.0
136,India,suffisance des apports énergétiques alimentaires moyens,2002,%,100.0
137,India,suffisance des apports énergétiques alimentaires moyens,2003,%,100.0
138,India,suffisance des apports énergétiques alimentaires moyens,2004,%,100.0
139,India,suffisance des apports énergétiques alimentaires moyens,2005,%,102.0
140,India,suffisance des apports énergétiques alimentaires moyens,2006,%,104.0
141,India,suffisance des apports énergétiques alimentaires moyens,2007,%,104.0
142,India,suffisance des apports énergétiques alimentaires moyens,2008,%,104.0
143,India,suffisance des apports énergétiques alimentaires moyens,2009,%,104.0
144,India,suffisance des apports énergétiques alimentaires moyens,2010,%,104.0
145,India,suffisance des apports énergétiques alimentaires moyens,2011,%,105.0
146,India,suffisance des apports énergétiques alimentaires moyens,2012,%,106.0
147,India,suffisance des apports énergétiques alimentaires moyens,2013,%,106.0
148,India,suffisance des apports énergétiques alimentaires moyens,2014,%,106.0
149,India,suffisance des apports énergétiques alimentaires moyens,2015,%,107.0
150,India,suffisance des apports énergétiques alimentaires moyens,2016,%,108.0
151,India,suffisance des apports énergétiques alimentaires moyens,2017,%,109.0
152,India,suffisance des apports énergétiques alimentaires moyens,2018,%,109.0
153,India,suffisance des apports énergétiques alimentaires moyens,2019,%,109.0
154,India,suffisance des apports énergétiques alimentaires moyens,2020,%,110.0
155,India,suffisance des apports énergétiques alimentaires moyens,2021,%,112.0
156,India,suffisance des apports énergétiques alimentaires moyens,2022,%,113.0
157,India,disponibilité alimentaire par habitant,2000,kcal/cap/d,2298.0
158,India,disponibilité alimentaire par habitant,2001,kcal/cap/d,2265.0
159,India,disponibilité alimentaire par habitant,2002,kcal/cap/d,2238.0
160,India,disponibilité alimentaire par habitant,2003,kcal/cap/d,2231.0
161,India,disponibilité alimentaire par habitant,2004,kcal/cap/d,2246.0
162,India,disponibilité alimentaire par habitant,2005,kcal/cap/d,2291.0
163,India,disponibilité alimentaire par habitant,2006,kcal/cap/d,2339.0
164,India,disponibilité alimentaire par habitant,2007,kcal/cap/d,2362.0
165,India,disponibilité alimentaire par habitant,2008,kcal/cap/d,2364.0
166,India,disponibilité alimentaire par habitant,2009,kcal/cap/d,2370.0
167,India,disponibilité alimentaire par habitant,2010,kcal/cap/d,2378.0
168,India,disponibilité alimentaire par habitant,2011,kcal/cap/d,2399.0
169,India,disponibilité alimentaire par habitant,2012,kcal/cap/d,2418.0
170,India,disponibilité alimentaire par habitant,2013,kcal/cap/d,2431.0
171,India,disponibilité alimentaire par habitant,2014,kcal/cap/d,2448.0
172,India,disponibilité alimentaire par habitant,2015,kcal/cap/d,2470.0
173,India,disponibilité alimentaire par habitant,2016,kcal/cap/d,2505.0
174,India,disponibilité alimentaire par habitant,2017,kcal/cap/d,2523.0
175,India,disponibilité alimentaire par habitant,2018,kcal/cap/d,2532.0
176,India,disponibilité alimentaire par habitant,2019,kcal/cap/d,2540.0
177,India,disponibilité alimentaire par habitant,2020,kcal/cap/d,2562.0
178,India,disponibilité alimentaire par habitant,2021,kcal/cap/d,2605.0
179,India,disponibilité alimentaire par habitant,2022,kcal/cap/d,2645.0
180,India,disponibilité protéiques moyenne,2000,g/cap/d,55.7
181,India,disponibilité protéiques moyenne,2001,g/cap/d,54.9
182,India,disponibilité protéiques moyenne,2002,g/cap/d,54.2
183,India,disponibilité protéiques moyenne,2003,g/cap/d,54.0
184,India,disponibilité protéiques moyenne,2004,g/cap/d,54.5
185,India,disponibilité protéiques moyenne,2005,g/cap/d,55.9
186,India,disponibilité protéiques moyenne,2006,g/cap/d,57.4
187,India,disponibilité protéiques moyenne,2007,g/cap/d,58.0
188,India,disponibilité protéiques moyenne,2008,g/cap/d,58.9
189,India,disponibilité protéiques moyenne,2009,g/cap/d,59.7
190,India,disponibilité protéiques moyenne,2010,g/cap/d,60.8
191,India,disponibilité protéiques moyenne,2011,g/cap/d,61.5
192,India,disponibilité protéiques moyenne,2012,g/cap/d,62.5
193,India,disponibilité protéiques moyenne,2013,g/cap/d,63.3
194,India,disponibilité protéiques moyenne,2014,g/cap/d,64.2
195,India,disponibilité protéiques moyenne,2015,g/cap/d,65.2
196,India,disponibilité protéiques moyenne,2016,g/cap/d,66.3
197,India,disponibilité protéiques moyenne,2017,g/cap/d,67.2
198,India,disponibilité protéiques moyenne,2018,g/cap/d,68.2
199,India,disponibilité protéiques moyenne,2019,g/cap/d,69.8
200,India,disponibilité protéiques moyenne,2020,g/cap/d,71.3
201,Mexico,suffisance des apports énergétiques alimentaires moyens,2000,%,140.0
202,Mexico,suffisance des apports énergétiques alimentaires moyens,2001,%,141.0
203,Mexico,suffisance des apports énergétiques alimentaires moyens,2002,%,141.0
204,Mexico,suffisance des apports énergétiques alimentaires moyens,2003,%,140.0
205,Mexico,suffisance des apports énergétiques alimentaires moyens,2004,%,139.0
206,Mexico,suffisance des apports énergétiques alimentaires moyens,2005,%,138.0
207,Mexico,suffisance des apports énergétiques alimentaires moyens,2006,%,138.0
208,Mexico,suffisance des apports énergétiques alimentaires moyens,2007,%,137.0
209,Mexico,suffisance des apports énergétiques alimentaires moyens,2008,%,136.0
210,Mexico,suffisance des apports énergétiques alimentaires moyens,2009,%,135.0
211,Mexico,suffisance des apports énergétiques alimentaires moyens,2010,%,134.0
212,Mexico,suffisance des apports énergétiques alimentaires moyens,2011,%,134.0
213,Mexico,suffisance des apports énergétiques alimentaires moyens,2012,%,134.0
214,Mexico,suffisance des apports énergétiques alimentaires moyens,2013,%,134.0
215,Mexico,suffisance des apports énergétiques alimentaires moyens,2014,%,135.0
216,Mexico,suffisance des apports énergétiques alimentaires moyens,2015,%,135.0
217,Mexico,suffisance des apports énergétiques alimentaires moyens,2016,%,136.0
218,Mexico,suffisance des apports énergétiques alimentaires moyens,2017,%,136.0
219,Mexico,suffisance des apports énergétiques alimentaires moyens,2018,%,137.0
220,Mexico,suffisance des apports énergétiques alimentaires moyens,2019,%,137.0
221,Mexico,suffisance des apports énergétiques alimentaires moyens,2020,%,138.0
222,Mexico,suffisance des apports énergétiques alimentaires moyens,2021,%,139.0
223,Mexico,suffisance des apports énergétiques alimentaires moyens,2022,%,139.0
224,Mexico,disponibilité alimentaire par habitant,2000,kcal/cap/d,3251.0
225,Mexico,disponibilité alimentaire par habitant,2001,kcal/cap/d,3272.0
226,Mexico,disponibilité alimentaire par habitant,2002,kcal/cap/d,3272.0
227,Mexico,disponibilité alimentaire par habitant,2003,kcal/cap/d,3251.0
228,Mexico,disponibilité alimentaire par habitant,2004,kcal/cap/d,3232.0
229,Mexico,disponibilité alimentaire par habitant,2005,kcal/cap/d,3224.0
230,Mexico,disponibilité alimentaire par habitant,2006,kcal/cap/d,3224.0
231,Mexico,disponibilité alimentaire par habitant,2007,kcal/cap/d,3209.0
232,Mexico,disponibilité alimentaire par habitant,2008,kcal/cap/d,3188.0
233,Mexico,disponibilité alimentaire par habitant,2009,kcal/cap/d,3168.0
234,Mexico,disponibilité alimentaire par habitant,2010,kcal/cap/d,3161.0
235,Mexico,disponibilité alimentaire par habitant,2011,kcal/cap/d,3152.0
236,Mexico,disponibilité alimentaire par habitant,2012,kcal/cap/d,3163.0
237,Mexico,disponibilité alimentaire par habitant,2013,kcal/cap/d,3177.0
238,Mexico,disponibilité alimentaire par habitant,2014,kcal/cap/d,3200.0
239,Mexico,disponibilité alimentaire par habitant,2015,kcal/cap/d,3213.0
240,Mexico,disponibilité alimentaire par habitant,2016,kcal/cap/d,3225.0
241,Mexico,disponibilité alimentaire par habitant,2017,kcal/cap/d,3242.0
242,Mexico,disponibilité alimentaire par habitant,2018,kcal/cap/d,3257.0
243,Mexico,disponibilité alimentaire par habitant,2019,kcal/cap/d,3277.0
244,Mexico,disponibilité alimentaire par habitant,2020,kcal/cap/d,3296.0
245,Mexico,disponibilité alimentaire par habitant,2021,kcal/cap/d,3320.0
246,Mexico,disponibilité alimentaire par habitant,2022,kcal/cap/d,3347.0
247,Mexico,disponibilité protéiques moyenne,2000,g/cap/d,87.2
248,Mexico,disponibilité protéiques moyenne,2001,g/cap/d,87.6
249,Mexico,disponibilité protéiques moyenne,2002,g/cap/d,87.5
250,Mexico,disponibilité protéiques moyenne,2003,g/cap/d,87.2
251,Mexico,disponibilité protéiques moyenne,2004,g/cap/d,87.5
252,Mexico,disponibilité protéiques moyenne,2005,g/cap/d,87.9
253,Mexico,disponibilité protéiques moyenne,2006,g/cap/d,88.3
254,Mexico,disponibilité protéiques moyenne,2007,g/cap/d,87.9
255,Mexico,disponibilité protéiques moyenne,2008,g/cap/d,89.3
256,Mexico,disponibilité protéiques moyenne,2009,g/cap/d,90.6
257,Mexico,disponibilité protéiques moyenne,2010,g/cap/d,92.5
258,Mexico,disponibilité protéiques moyenne,2011,g/cap/d,92.9
259,Mexico,disponibilité protéiques moyenne,2012,g/cap/d,93.5
260,Mexico,disponibilité protéiques moyenne,2013,g/cap/d,94.1
261,Mexico,disponibilité protéiques moyenne,2014,g/cap/d,94.6
262,Mexico,disponibilité protéiques moyenne,2015,g/cap/d,95.1
263,Mexico,disponibilité protéiques moyenne,2016,g/cap/d,96.1
264,Mexico,disponibilité protéiques moyenne,2017,g/cap/d,97.1
265,Mexico,disponibilité protéiques moyenne,2018,g/cap/d,97.9
266,Mexico,disponibilité protéiques moyenne,2019,g/cap/d,98.5
267,Mexico,disponibilité protéiques moyenne,2020,g/cap/d,99.4
268,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2000,%,118.0
269,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2001,%,120.0
270,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2002,%,122.0
271,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2003,%,125.0
272,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2004,%,127.0
273,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2005,%,130.0
274,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2006,%,132.0
275,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2007,%,132.0
276,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2008,%,132.0
277,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2009,%,132.0
278,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2010,%,133.0
279,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2011,%,134.0
280,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2012,%,135.0
281,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2013,%,135.0
282,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2014,%,135.0
283,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2015,%,135.0
284,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2016,%,136.0
285,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2017,%,136.0
286,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2018,%,136.0
287,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2019,%,137.0
288,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2020,%,138.0
289,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2021,%,139.0
290,Russian Federation,suffisance des apports énergétiques alimentaires moyens,2022,%,141.0
291,Russian Federation,disponibilité alimentaire par habitant,2000,kcal/cap/d,2959.0
292,Russian Federation,disponibilité alimentaire par habitant,2001,kcal/cap/d,3028.0
293,Russian Federation,disponibilité alimentaire par habitant,2002,kcal/cap/d,3087.0
294,Russian Federation,disponibilité alimentaire par habitant,2003,kcal/cap/d,3149.0
295,Russian Federation,disponibilité alimentaire par habitant,2004,kcal/cap/d,3211.0
296,Russian Federation,disponibilité alimentaire par habitant,2005,kcal/cap/d,3278.0
297,Russian Federation,disponibilité alimentaire par habitant,2006,kcal/cap/d,3315.0
298,Russian Federation,disponibilité alimentaire par habitant,2007,kcal/cap/d,3323.0
299,Russian Federation,disponibilité alimentaire par habitant,2008,kcal/cap/d,3310.0
300,Russian Federation,disponibilité alimentaire par habitant,2009,kcal/cap/d,3305.0
301,Russian Federation,disponibilité alimentaire par habitant,2010,kcal/cap/d,3320.0
302,Russian Federation,disponibilité alimentaire par habitant,2011,kcal/cap/d,3328.0
303,Russian Federation,disponibilité alimentaire par habitant,2012,kcal/cap/d,3340.0
304,Russian Federation,disponibilité alimentaire par habitant,2013,kcal/cap/d,3329.0
305,Russian Federation,disponibilité alimentaire par habitant,2014,kcal/cap/d,3331.0
306,Russian Federation,disponibilité alimentaire par habitant,2015,kcal/cap/d,3329.0
307,Russian Federation,disponibilité alimentaire par habitant,2016,kcal/cap/d,3343.0
308,Russian Federation,disponibilité alimentaire par habitant,2017,kcal/cap/d,3351.0
309,Russian Federation,disponibilité alimentaire par habitant,2018,kcal/cap/d,3356.0
310,Russian Federation,disponibilité alimentaire par habitant,2019,kcal/cap/d,3368.0
311,Russian Federation,disponibilité alimentaire par habitant,2020,kcal/cap/d,3403.0
312,Russian Federation,disponibilité alimentaire par habitant,2021,kcal/cap/d,3430.0
313,Russian Federation,disponibilité alimentaire par habitant,2022,kcal/cap/d,3474.0
314,Russian Federation,disponibilité protéiques moyenne,2000,g/cap/d,86.9
315,Russian Federation,disponibilité protéiques moyenne,2001,g/cap/d,88.5
316,Russian Federation,disponibilité protéiques moyenne,2002,g/cap/d,89.8
317,Russian Federation,disponibilité protéiques moyenne,2003,g/cap/d,91.6
318,Russian Federation,disponibilité protéiques moyenne,2004,g/cap/d,93.4
319,Russian Federation,disponibilité protéiques moyenne,2005,g/cap/d,96.0
320,Russian Federation,disponibilité protéiques moyenne,2006,g/cap/d,97.8
321,Russian Federation,disponibilité protéiques moyenne,2007,g/cap/d,99.2
322,Russian Federation,disponibilité protéiques moyenne,2008,g/cap/d,102.0
323,Russian Federation,disponibilité protéiques moyenne,2009,g/cap/d,104.4
324,Russian Federation,disponibilité protéiques moyenne,2010,g/cap/d,107.6
325,Russian Federation,disponibilité protéiques moyenne,2011,g/cap/d,108.1
326,Russian Federation,disponibilité protéiques moyenne,2012,g/cap/d,108.8
327,Russian Federation,disponibilité protéiques moyenne,2013,g/cap/d,108.7
328,Russian Federation,disponibilité protéiques moyenne,2014,g/cap/d,108.6
329,Russian Federation,disponibilité protéiques moyenne,2015,g/cap/d,108.7
330,Russian Federation,disponibilité protéiques moyenne,2016,g/cap/d,109.3
331,Russian Federation,disponibilité protéiques moyenne,2017,g/cap/d,110.6
332,Russian Federation,disponibilité protéiques moyenne,2018,g/cap/d,111.9
333,Russian Federation,disponibilité protéiques moyenne,2019,g/cap/d,113.2
334,Russian Federation,disponibilité protéiques moyenne,2020,g/cap/d,115.1
335,South Africa,suffisance des apports énergétiques alimentaires moyens,2000,%,122.0
336,South Africa,suffisance des apports énergétiques alimentaires moyens,2001,%,123.0
337,South Africa,suffisance des apports énergétiques alimentaires moyens,2002,%,123.0
338,South Africa,suffisance des apports énergétiques alimentaires moyens,2003,%,124.0
339,South Africa,suffisance des apports énergétiques alimentaires moyens,2004,%,124.0
340,South Africa,suffisance des apports énergétiques alimentaires moyens,2005,%,123.0
341,South Africa,suffisance des apports énergétiques alimentaires moyens,2006,%,123.0
342,South Africa,suffisance des apports énergétiques alimentaires moyens,2007,%,123.0
343,South Africa,suffisance des apports énergétiques alimentaires moyens,2008,%,122.0
344,South Africa,suffisance des apports énergétiques alimentaires moyens,2009,%,121.0
345,South Africa,suffisance des apports énergétiques alimentaires moyens,2010,%,120.0
346,South Africa,suffisance des apports énergétiques alimentaires moyens,2011,%,120.0
347,South Africa,suffisance des apports énergétiques alimentaires moyens,2012,%,119.0
348,South Africa,suffisance des apports énergétiques alimentaires moyens,2013,%,118.0
349,South Africa,suffisance des apports énergétiques alimentaires moyens,2014,%,118.0
350,South Africa,suffisance des apports énergétiques alimentaires moyens,2015,%,118.0
351,South Africa,suffisance des apports énergétiques alimentaires moyens,2016,%,119.0
352,South Africa,suffisance des apports énergétiques alimentaires moyens,2017,%,119.0
353,South Africa,suffisance des apports énergétiques alimentaires moyens,2018,%,117.0
354,South Africa,suffisance des apports énergétiques alimentaires moyens,2019,%,115.0
355,South Africa,suffisance des apports énergétiques alimentaires moyens,2020,%,114.0
356,South Africa,suffisance des apports énergétiques alimentaires moyens,2021,%,113.0
357,South Africa,suffisance des apports énergétiques alimentaires moyens,2022,%,113.0
358,South Africa,disponibilité alimentaire par habitant,2000,kcal/cap/d,2897.0
359,South Africa,disponibilité alimentaire par habitant,2001,kcal/cap/d,2917.0
360,South Africa,disponibilité alimentaire par habitant,2002,kcal/cap/d,2934.0
361,South Africa,disponibilité alimentaire par habitant,2003,kcal/cap/d,2956.0
362,South Africa,disponibilité alimentaire par habitant,2004,kcal/cap/d,2961.0
363,South Africa,disponibilité alimentaire par habitant,2005,kcal/cap/d,2959.0
364,South Africa,disponibilité alimentaire par habitant,2006,kcal/cap/d,2952.0
365,South Africa,disponibilité alimentaire par habitant,2007,kcal/cap/d,2954.0
366,South Africa,disponibilité alimentaire par habitant,2008,kcal/cap/d,2926.0
367,South Africa,disponibilité alimentaire par habitant,2009,kcal/cap/d,2899.0
368,South Africa,disponibilité alimentaire par habitant,2010,kcal/cap/d,2877.0
369,South Africa,disponibilité alimentaire par habitant,2011,kcal/cap/d,2878.0
370,South Africa,disponibilité alimentaire par habitant,2012,kcal/cap/d,2867.0
371,South Africa,disponibilité alimentaire par habitant,2013,kcal/cap/d,2837.0
372,South Africa,disponibilité alimentaire par habitant,2014,kcal/cap/d,2820.0
373,South Africa,disponibilité alimentaire par habitant,2015,kcal/cap/d,2818.0
374,South Africa,disponibilité alimentaire par habitant,2016,kcal/cap/d,2827.0
375,South Africa,disponibilité alimentaire par habitant,2017,kcal/cap/d,2816.0
376,South Africa,disponibilité alimentaire par habitant,2018,kcal/cap/d,2792.0
377,South Africa,disponibilité alimentaire par habitant,2019,kcal/cap/d,2746.0
378,South Africa,disponibilité alimentaire par habitant,2020,kcal/cap/d,2725.0
379,South Africa,disponibilité alimentaire par habitant,2021,kcal/cap/d,2703.0
380,South Africa,disponibilité alimentaire par habitant,2022,kcal/cap/d,2705.0
381,South Africa,disponibilité protéiques moyenne,2000,g/cap/d,75.8
